,Name,Type,Country,Region,Winery,Rating,NumberOfRatings,Price,Year
144,Sanct Valentin Riserva Pinot Noir 2017,Red,Italy,Südtirol - Alto Adige,St. Michael-Eppan,4.1,104,33.2,2017
145,Mas Collet Barrica 2009,Red,Spain,Montsant,Capçanes,3.5,104,21.91,2009
146,Valpolicella Ripasso Classico Superiore 2016,Red,Italy,Valpolicella Ripasso Classico,Paolo Cottini,4.0,104,16.9,2016
147,Toscana Poggio Ai Merli 2016,Red,Italy,Toscana,Castellare,4.3,104,69.0,2016
148,Viña Aljibes Red Blend 2016,Red,Spain,Castilla,Finca Los Aljibes,3.4,104,8.2,2016
149,Châteauneuf-du-Pape (La Crau) 2017,Red,France,Châteauneuf-du-Pape,Domaine du Vieux Télégraphe,4.4,104,79.95,2017
150,Châteauneuf-Du-Pape La Paillousse Terroir D'Exception Rouge 2015,Red,France,Châteauneuf-du-Pape,Pierre Amadieu,4.0,104,26.23,2015
151,Mencia 2015,Red,Spain,Valdeorras,Viña Costeira,3.2,104,8.28,2015
152,Santenay Clos de Malte 2016,Red,France,Santenay,Louis Jadot,4.1,104,32.0,2016
153,Sudisfà Roero Riserva 2015,Red,Italy,Roero,Negro Angelo,4.1,104,29.9,2015
154,Léa Les Aspres Côtes du Roussillon Rouge 2012,Red,France,Côtes du Roussillon,Domaine Lafage,4.0,104,19.95,2012
155,Alleanza 2012,Red,Italy,Toscana,Castello di Gabbiano,4.1,104,26.95,2012
156,Valpolicella Ripasso Classico Superiore Solane 2015,Red,Italy,Valpolicella Ripasso,Santi,3.7,1040,14.75,2015
157,Crianza 2015,Red,Spain,Binissalem-Mallorca,Bodegas José L. Ferrer,3.8,1040,11.95,2015
158,Courela Tinto 2016,Red,Portugal,Alentejano,Cortes de Cima,3.6,1040,5.65,2016
159,Barbera d'Alba Tre Vigne 2015,Red,Italy,Barbera d'Alba,Vietti,3.8,1040,19.5,2015
160,No Name 2014,Red,Italy,Piemonte,Borgogno,4.0,1041,34.32,2014
161,Rioja Bordón Reserva 2011,Red,Spain,Rioja,Franco-Espanolas,3.8,1045,10.85,2011
162,Pian delle Vigne Brunello di Montalcino 2014,Red,Italy,Brunello di Montalcino,Antinori,4.3,1046,45.6,2014
163,Almiréz 2016,Red,Spain,Toro,Teso La Monja,4.0,1046,14.95,2016
164,Colheita Seleccionada Rouge 2010,Red,Portugal,Alentejano,Rapariga da Quinta,3.2,1046,11.7,2010
165,Ammasso Rosso Sicilia 2016,Red,Italy,Sicilia,Barone Montalto,4.2,1047,16.34,2016
166,Côtes du Rhône Nature Rouge 2016,Red,France,Côtes-du-Rhône,Famille Perrin,3.6,1049,10.45,2016
167,Russian River Valley Zinfandel 2015,Red,United States,Russian River Valley,DeLoach,3.5,105,18.49,2015
168,Saint-Julien (Grand Cru Classé) 2016,Red,France,Saint-Julien,Château Léoville Las Cases,4.6,105,330.45,2016
169,Halkidiki Limnio - Merlot 2013,Red,Greece,Chalkidiki,Tsantali,3.2,105,12.49,2013
170,Pomerol 2015,Red,France,Pomerol,Château l'Ecuyer,4.2,105,43.16,2015
171,Toar Valpolicella Classico Superiore 2016,Red,Italy,Valpolicella Classico,Masi,3.7,105,15.6,2016
172,Arbòre Cannonau di Sardegna 2012,Red,Italy,Cannonau di Sardegna,Gabbas,4.0,105,21.9,2012
173,Ángeles de Amaren Tempranillo - Graciano 2015,Red,Spain,Rioja,Bodegas Amaren,4.2,105,15.95,2015
174,Barbera 2018,Red,Italy,Piemonte,Serre dei Roveri,3.3,105,6.15,2018
175,Amarone della Valpolicella 2006,Red,Italy,Amarone della Valpolicella,Zýmē,4.5,105,96.9,2006
176,Castillo de Jumilla Monastrell - Tempranillo 2018,Red,Spain,Jumilla,Bleda,3.5,105,5.33,2018
177,Hommage Lirac 2016,Red,France,Lirac,Domaine Coudoulis,3.9,105,19.01,2016
178,Poggio d'Arna Toscana 2014,Red,Italy,Toscana,Tenuta di Sesta,3.6,105,12.9,2014
179,Vinya Le Havre Reserva Cabernet Sauvignon 2013,Red,Spain,Penedès,Jean Leon,4.0,105,25.75,2013
180,Brunello di Montalcino 2014,Red,Italy,Brunello di Montalcino,Tenute Silvio Nardi,3.8,105,32.75,2014
181,Sor Ugo Bolgheri Superiore 2017,Red,Italy,Bolgheri Superiore,Aia Vecchia,4.3,105,23.94,2017
182,Ses Nines Negre 2018,Red,Spain,Binissalem-Mallorca,Tianna Negre,3.8,105,11.25,2018
183,Terrassen Zweigelt Blauer 2018,Red,Austria,Wachau,Domäne Wachau,3.7,105,9.95,2018
184,Rosso di Montalcino 2018,Red,Italy,Rosso di Montalcino,Ciacci Piccolomini d'Aragona,4.1,105,16.47,2018
185,Riva Ranch Pinot Noir (Reliz Creek) 2017,Red,United States,Arroyo Seco,Wente,3.9,105,24.15,2017
186,Altos R Tempranillo 2017,Red,Spain,Rioja,Altos de Rioja,3.4,105,6.9,2017
187,Amarone della Valpolicella Classico 2016,Red,Italy,Amarone della Valpolicella Classico,Zenato,4.2,105,43.61,2016
188,Potenti Toscana (Suvereto) 2015,Red,Italy,Toscana,Petra,3.9,105,39.58,2015
189,Trentatre 33 Rosso 2017,Red,Italy,Salento,Rocca,3.6,105,6.95,2017
190,Pievasciata Rosso 2016,Red,Italy,Toscana,Vallepicciola,4.1,105,14.9,2016
191,Brunello di Montalcino 2013,Red,Italy,Brunello di Montalcino,Tenute Silvio Nardi,3.9,1050,35.5,2013
192,The Barossan Shiraz 2017,Red,Australia,Barossa Valley,Peter Lehmann,3.8,1051,16.48,2017
193,Nero d'Avola 2017,Red,Italy,Terre Siciliane,Colosi,3.8,1055,8.68,2017
194,Bordeaux 2015,Red,France,Bordeaux,Jean-Pierre Moueix,3.5,1056,10.21,2015
195,Cabernet Sauvignon 2018,Red,United States,California,Woodbridge by Robert Mondavi,3.4,1056,8.95,2018
196,Tinto 2018,Red,Portugal,Lisboa,Porta 6,3.7,1056,9.12,2018
197,Délicate N.V.,Red,South Africa,Stellenbosch,De Toren,4.1,1056,14.38,2018
198,Aglianico Rubrato 2014,Red,Italy,Irpinia,Feudi di San Gregorio,3.5,1057,10.95,2014
199,Gran Verano Cabernet Sauvignon 2018,Red,Chile,Central Valley,Apaltagua,3.4,1059,6.95,2018
200,Grand Estates Merlot 2015,Red,United States,Columbia Valley,Columbia Crest,3.7,1059,12.4,2015
201,Saint-Julien (Grand Cru Classé) 2017,Red,France,Saint-Julien,Château Beychevelle,4.0,106,86.76,2017
202,Copa Santa La Méjanelle 2015,Red,France,Languedoc,Clavel,4.0,106,17.9,2015
203,Cantodoro 2016,Red,Italy,Sicilia,Feudo Arancio,3.6,106,8.5,2016
204,Vitiano San Lorenzo 2014,Red,Italy,Castel San Lorenzo,Falesco,3.9,106,11.95,2014
205,Disueri Nero d'Avola 2018,Red,Italy,Sicilia,Cusumano,3.6,106,7.7,2018
206,Kirschgarten Spatburgunder GG 2013,Red,Germany,Pfalz,Knipser,4.2,106,39.95,2013
207,B 2017,Red,Spain,Ribera del Duero,Baden Numen,3.8,106,11.21,2017
208,Pinot Noir 2017,Red,Italy,Valle d'Aosta,Ottin - Viticulteur Encaveur,4.0,106,22.5,2017
209,Protocolo Tinto 2018,Red,Spain,Castilla,Dominio de Eguren,3.7,106,5.95,2018
210,Rouge 2016,Red,France,Bordeaux,Bad Boy (Mauvais Garçon),3.9,106,16.9,2016
211,Côte de Nuits Villages Le Vaucrain 2016,Red,France,Côte de Nuits Villages,Louis Jadot,4.0,106,32.0,2016
212,Vino Nobile di Montepulciano 2016,Red,Italy,Vino Nobile di Montepulciano,Talosa,3.9,106,17.79,2016
213,Yotuel Selección 2014,Red,Spain,Ribera del Duero,Gallego Zapatero,3.6,106,15.75,2014
214,Lanzaga Rioja 2014,Red,Spain,Rioja,Telmo Rodriguez,3.8,106,19.95,2014
215,Elysian Collection Merlot 2016,Red,United States,California,Bonterra,3.8,106,26.7,2016
216,La Tiare du Pape Châteauneuf-du-Pape Rouge 2015,Red,France,Châteauneuf-du-Pape,Maison Bouachon,3.9,106,45.0,2015
217,Spätburgunder Trocken 2015,Red,Germany,Pfalz,Ökonomierat Rebholz,3.9,106,21.4,2015
218,El Chocolatero Cariñena 2014,Red,Spain,Cariñena,San Valero,3.2,106,7.75,2014
219,Hermitage La Chapelle Rouge 2016,Red,France,Hermitage,Paul Jaboulet Aîné,4.3,106,249.95,2016
220,Mas Oliveras Tempranillo 2018,Red,Spain,Catalunya,Ramón Roqueta,3.2,106,6.5,2018
221,Pannobile 2015,Red,Austria,Burgenland,Pittnauer,3.9,106,22.13,2015
222,Tempus 2018,Red,Italy,Veneto,Stefano Accordini,3.8,106,10.42,2018
223,Le Clos des Fées (Hervé Bizeul) 2013,Red,France,Côtes du Roussillon,Domaine du Clos des Fées,4.1,106,52.53,2013
224,Tío Martín Crianza 2016,Red,Spain,Rioja,D. Mateos,3.8,106,15.69,2016
225,Vigna Del Mandorlo Dolcetto d'Alba 2017,Red,Italy,Dolcetto d'Alba,Elvio Cogno,3.4,106,11.5,2017
226,Barolo Bussia 2015,Red,Italy,Barolo,Prunotto,4.1,106,69.0,2015
227,Tinto 2015,Red,Spain,Rioja,Gran Familia,3.5,106,5.8,2015
228,Finca Cuesta Clara Raro Reserva 2015,Red,Spain,Rioja,Campillo,4.2,106,39.99,2015
229,Fronsac 2005,Red,France,Fronsac,Château la Vieille Cure,4.0,106,39.95,2005
230,Ventoux 2016,Red,France,Ventoux,Xavier Vignon,3.6,106,8.2,2016
231,Hussonet Cabernet Sauvignon Gran Reserva 2015,Red,Chile,Maipo Valley,Haras de Pirque,3.7,1060,15.95,2015
232,Salice Salentino Riserva 2016,Red,Italy,Salice Salentino,Marchese di Borgosole,3.9,1061,8.49,2016
233,Chianti Classico 2016,Red,Italy,Chianti Classico,Isole e Olena,3.9,1063,20.86,2016
234,Joseph Meczan Pinot Nero - Blauburgunder Alto Adige 2016,Red,Italy,Südtirol - Alto Adige,J. Hofstätter,3.6,1064,13.48,2016
235,Brunello di Montalcino 2014,Red,Italy,Brunello di Montalcino,Tenuta Il Poggione,4.2,1065,36.63,2014
236,Cabernet Sauvignon 2015,Red,United States,Columbia Valley,Columbia Winery,3.8,1065,17.75,2015
